projectIdentifier,programArea,programFy,disasterNumber,propertyPartOfProject,propertyAction,structureType,typeOfResidency,foundationType,county,city,state,stateNumberCode,region,zip,damageCategory,actualAmountPaid,numberOfProperties,id
DR-1437-0025-R,HMGP,2003,1437,1,Elevation,Single Family,Other (Specify in Comments),Slab on Grade,St. Tammany,SLIDELL,Louisiana,22,6,70458,N/A,220459.00,1,b5222b7b-a774-4e21-8024-cd08f3328956
DR-1437-0007-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Crawl Space,Calcasieu,LAKE CHARLES,Louisiana,22,6,70615,N/A,80831.00,1,e48fc9fa-8d6b-4cce-ba55-7c9a1bbd7744
DR-1437-0043-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Crawl Space,Jefferson,METAIRIE,Louisiana,22,6,70072,0 - 49%,1.00,1,50418b83-47c8-42a1-8d5e-33a5c7c067d9
DR-1437-0005-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Crawl Space,Livingston,DENHAM SPRINGS,Louisiana,22,6,70726,N/A,78000.00,1,34715828-ea71-42a5-837f-92829061479b
DR-1437-0025-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Crawl Space,,SLIDELL,Louisiana,22,6,70458,50 - 99%,,1,dd60a1fc-a998-4547-b245-055637f920dd
DR-1437-0011-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Avoyelles,MARKSVILLE,Louisiana,22,6,71351,N/A,78084.00,1,839b15e5-e001-4820-ad62-0767c1636e28
DR-1437-0043-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Jefferson,AVONDALE,Louisiana,22,6,70094,0 - 49%,1.00,1,7f1222c0-83ba-4aa4-bebe-ce7e66a6d4c1
DR-1437-0005-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Livingston,MAUREPAS,Louisiana,22,6,70449,N/A,64194.00,1,edb90be9-5732-4837-9687-050ba02895c9
DR-1437-0028-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Slab on Grade,St. Tammany,COVINGTON,Louisiana,22,6,70434,0 - 49%,109578.00,1,cbe11cea-a0ba-4a0a-8510-387f8102dd55
DR-1437-0025-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Slab on Grade,St. Tammany,SLIDELL,Louisiana,22,6,70458,50 - 99%,220459.00,17,43d49340-0031-4709-a72d-c447c52078fc
DR-1437-0025-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Slab on Grade,St. Tammany,SLIDELL,Louisiana,22,6,70458,50 - 99%,,5,0943c426-07c0-4b3b-ba52-ebd970c553f5
DR-1437-0025-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Slab on Grade,St. Tammany,SLIDELL,Louisiana,22,6,70458,N/A,220459.00,3,d1167b71-8312-4896-9251-dc41508f1365
DR-1437-0025-R,HMGP,2003,1437,1,Elevation,Single Family,Owner Occupied - Principal Residence,Slab on Grade,St. Tammany,SLIDELL,Louisiana,22,6,70458,N/A,,2,dd130b27-6765-49e4-9c57-6c042fdb1d21
DR-1437-0006-R,HMGP,2003,1437,1,,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Ouachita,MONROE,Louisiana,22,6,71201,N/A,,2,8546e89a-c16e-4ef4-8f46-ae9383c3d9a5
DR-1437-0006-R,HMGP,2003,1437,1,,Single Family,Owner Occupied - Principal Residence,Slab on Grade,,MONROE,Louisiana,22,6,71202,N/A,,1,361ecbf2-666f-4a0e-9680-3ef6eef43446
DR-1438-0009-R,HMGP,2003,1438,1,Acquisition/Demolition,Manufactured Home,Rental,Crawl Space,Autauga,PRATTVILLE,Alabama,1,4,36067,0 - 49%,83000.00,1,68c82388-e63d-4628-94ad-4c63a781a92c
DR-1438-0006-R,HMGP,2003,1438,1,Acquisition/Demolition,Non-residential - Private,Other (Specify in Comments),Slab on Grade,Geneva,GENEVA,Alabama,1,4,36340,0 - 49%,,1,c2169f7a-f08c-4cb3-baec-3ca2dc2404de
DR-1438-0008-R,HMGP,2003,1438,1,Acquisition/Demolition,Non-residential - Private,Other (Specify in Comments),Slab on Grade,Geneva,GENEVA,Alabama,1,4,36340,0 - 49%,53520.00,1,699d4269-8339-4d5b-a37f-257c627d8f1f
DR-1438-0009-R,HMGP,2003,1438,1,Acquisition/Demolition,Single Family,Rental,Crawl Space,Autauga,PRATTVILLE,Alabama,1,4,36067,0 - 49%,32000.00,1,59c6e16d-e23c-471f-90b1-38eae54da6ce
DR-1438-0009-R,HMGP,2003,1438,1,Acquisition/Demolition,Single Family,Rental,Crawl Space,Autauga,PRATTVILLE,Alabama,1,4,36067,0 - 49%,36000.00,1,31a367ab-93dc-4163-92ad-5b74d9427853
DR-1438-0007-R,HMGP,2003,1438,1,Elevation,Single Family,Owner Occupied - Principal Residence,Crawl Space,Baldwin,FAIRHOPE,Alabama,1,4,36532,0 - 49%,,1,ee5106db-bb9b-41d2-97da-9e54a402cd50
DR-1438-0003-R,HMGP,2003,1438,1,Elevation,Single Family,Owner Occupied - Principal Residence,Crawl Space,Baldwin,SUMERDALE,Alabama,1,4,36580,N/A,,1,2a887665-dd56-4572-a1e3-d5b895b1d8dd
DR-1438-0004-R,HMGP,2003,1438,1,Elevation,Single Family,Owner Occupied - Secondary Residence,"Elevated on Piers, Piles, Posts or Columns",Baldwin,GULF SHORES,Alabama,1,4,36542,N/A,39109.00,1,5b43355a-adbc-4dcd-aade-fe85a2c0f0eb
DR-1438-0010-R,HMGP,2003,1438,1,Wind Retrofit,Other (Specify in Comments),Other (Specify in Comments),Slab on Grade,Mobile,DAUPHIN ISLAND,Alabama,1,4,36528,N/A,210461.00,1,1ea8bbdc-0799-454d-bfed-3ac6b4558132
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition of Vacant Land,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,LUMBERTON,Texas,48,6,77656,50 - 99%,50372.00,1,5b800171-5127-46d0-b622-1f2bd5fbe613
DR-1439-0009-R,HMGP,2003,1439,1,Acquisition of Vacant Land,Vacant Land,Other (Specify in Comments),Vacant Land,Cameron,LOS FRESNOS,Texas,48,6,78566,N/A,,1,42af7038-f18c-4247-866e-027fa7389c50
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,KOUNTZE,Texas,48,6,77625,50 - 99%,42000.00,1,941f6421-ea55-4556-84c7-bc670fb917ec
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,LUMBERTON,Texas,48,6,77657,50 - 99%,60000.00,1,27bf712f-ef7b-4148-b732-7702850e18ef
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,LUMBERTON,Texas,48,6,77657,50 - 99%,80984.00,1,56c428e9-e348-4cbb-bbad-1ba511e130b5
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,LUMBERTON,Texas,48,6,77657,50 - 99%,83000.00,1,c92970cd-20e3-4f95-af89-ba35d8d81f83
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,LUMBERTON,Texas,48,6,77657,50 - 99%,121364.00,1,524c3623-8fd0-470a-bae5-38e96deb4868
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,SOUR LAKE,Texas,48,6,77659,50 - 99%,63767.00,1,09b773af-c36c-41fe-8d2e-231d8948db5b
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,SOUR LAKE,Texas,48,6,77659,50 - 99%,76000.00,1,5e358d34-7a10-4bd3-8865-e6e3040336cc
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,SOUR LAKE,Texas,48,6,77659,50 - 99%,80478.00,1,d99157c9-6831-4e94-aede-224270072727
DR-1439-0006-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Hardin,SOUR LAKE,Texas,48,6,77659,50 - 99%,121159.00,1,82cdd4e7-41b9-44dc-a9de-4b5f90c28144
DR-1439-0002-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77032,50 - 99%,47847.00,1,9296b716-511d-4560-beb8-75431123e540
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77032,50 - 99%,107969.00,1,d80c15db-a55f-411d-9d53-343997e7df6d
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,956.00,2,d4c07399-1322-4faa-b592-706986adb6ff
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,72034.00,1,d746251a-416e-412e-b3d2-f8af91e1fcdc
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,75399.00,1,0edb3898-b92e-4f53-89cb-764657a2c46c
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,78206.00,1,b3531af8-fc9b-4e0f-985c-a0cffd81d39f
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,78973.00,1,3234a2df-3a30-4cc0-81c7-8ac2f7ba7cba
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,78978.00,1,94adfbf9-74a0-4244-9ffa-7b3dd03a9111
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,79879.00,1,f2f5d436-4208-4f8b-85f6-041d29b382db
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,80209.00,1,679df960-bf88-4490-98b7-abd7d6e5dda8
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,80460.00,1,f31fff5c-19e2-44ee-a119-8d2c4799bbb0
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,80509.00,1,ed22f77e-2f59-480c-8b2d-62b06437542d
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,80918.00,1,0225deff-b1eb-4178-8292-d7450727ee2b
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,80970.00,1,290df918-f4e0-48fc-b180-0b23f1e82ba8
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,81512.00,1,71fb0923-13f8-42a9-a70e-f43b761f74de
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,82038.00,1,979e32a2-12a9-4892-bcc2-59971d5f73ff
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,82642.00,1,5839f9e3-6100-4ea2-9b5a-e38914d6c64c
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,82659.00,1,c0b02b07-e771-4d62-b4f8-31f472b79805
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,83062.00,1,69804c77-5c4f-4270-883b-2434fb4434fd
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,83844.00,1,b5fc4b22-004b-4e81-a3af-ce382b3c58b6
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,84038.00,1,6db91489-9d77-477d-9ef5-943973e13278
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,84214.00,1,eefa2139-fd60-46e2-9d03-ee1c7053baef
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,85127.00,1,e8ccea1c-1402-49b2-88eb-3c06ea1638d7
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,85384.00,1,68316e54-5a2d-4b9a-9bfb-f754b629c3b7
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,85606.00,1,208218b7-5652-44d6-b0bd-1483aa53f4e3
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,86977.00,1,961dc403-dbf1-4524-a062-600f2c67f4f4
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,87613.00,1,33006f40-77ef-473f-96f4-30cc91ef3b54
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,87686.00,1,901c8fdd-3b74-4e0c-9c1a-c22781fd2bc2
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,88279.00,1,c17c6cf1-cac0-48c7-b9d2-e3919fbd214f
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,88810.00,1,cc924432-0792-400b-a5e2-6e5f47ef58a2
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,89990.00,1,2dc708ce-f9c1-4a09-ba3a-639ad8772267
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,90756.00,1,bba085d8-a10e-454a-8866-30325b22dafd
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,90759.00,1,db773d34-3157-47a3-bf64-66fa0c3aa72a
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,91059.00,1,8c0f6c2f-10e5-4b5d-800b-fb07bc59cff6
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,93253.00,1,5a4e4210-336a-4734-8054-17660ebbfa59
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,94070.00,1,285b6ade-d0cb-4974-a8d1-42fbe987f100
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,94092.00,1,e9f428e1-ef61-4c5f-8520-b099f5fb8e03
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,94196.00,1,60abf0ff-84f5-448f-bae3-6ec75d967555
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,94310.00,1,92997cf1-1206-4e8f-b6d3-59bd447b3a8c
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,95294.00,1,022a497a-4187-42c3-809a-c67b15d56ab0
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,96170.00,1,801e3d24-dd4a-4779-a2e3-75153b3913ab
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,96328.00,1,8bc4eeba-2371-4185-910c-13d743ec74e0
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,96342.00,1,2f46ad28-f2ee-469b-ac31-81a373330644
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,96829.00,1,1c4e0fa0-5ac2-46bb-a728-e42c67bdb3af
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,97088.00,1,801dbeb0-5132-401b-afbf-950bf78170e7
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,98203.00,1,b5d54584-7423-4008-8eec-a60597c4dfb1
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,99072.00,1,404678d2-24e1-4814-b064-18f759f16a5f
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,99512.00,1,7ce96073-618f-4210-aa72-6e169bb58f05
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,99534.00,1,e32672ec-b7ec-48da-9f86-0258b20ed711
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,99815.00,1,e8800bba-fca2-4cc8-a9e4-fbca449ce469
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,103000.00,1,d873ab73-aaf5-4f83-9036-41d2fd1bfe75
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,107331.00,1,4a565861-702f-4cff-a895-af119192c473
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,107768.00,1,2c8bff77-cf71-4314-a3d9-cc7748e71e54
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,113291.00,1,3b4ffed9-e384-4fc4-8c48-3e6d1e6e996d
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,133042.00,1,35abdf11-d29a-47ba-bc1d-ff750ded0d3d
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,137253.00,1,7e75b6af-e519-4df0-943c-8d9e64dabb9a
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,50 - 99%,167972.00,1,b2dedeaf-80cd-4a89-96ce-7435f983c182
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77040,N/A,956.00,1,2fa364d9-4707-4232-a89c-79fcb61255ca
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Harris,HOUSTON,Texas,48,6,77088,N/A,,1,18cd0757-dfa2-4643-96fc-7e142ef9e423
DR-1439-0003-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Jefferson,BEAUMONT,Texas,48,6,77707,50 - 99%,83275.00,1,d3ec7c28-35a5-4114-824c-a5f8c0bc9aaa
DR-1439-0001-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,Orange,ORANGE,Texas,48,6,77630,50 - 99%,149000.00,1,393fe997-2b99-4ebc-b0fc-72d702b59065
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,,HOUSTON,Texas,48,6,77040,N/A,,1,7b6b1aa2-0e2c-4fa8-9319-c058ea1d2cd7
DR-1439-0005-R,HMGP,2003,1439,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Slab on Grade,,HOUSTON,Texas,48,6,77088,N/A,,1,9b786e19-7a7b-43be-9035-596fc9c5b577
DR-1439-0001-R,HMGP,2003,1439,1,,Single Family,Owner Occupied - Principal Residence,Slab on Grade,,ORANGE ,Texas,48,6,07763,50 - 99%,,1,a8f99ebe-0038-4b9c-b543-339c14b64f5c
DR-1440-0008-R,HMGP,2003,1440,1,Acquisition/Demolition,Manufactured Home,Owner Occupied - Principal Residence,"Elevated on Piers, Piles, Posts or Columns",Fairbanks North Star,SALCHA,Alaska,2,10,99714,0 - 49%,24000.00,1,66c95b5e-e7ab-4075-9663-ae439c7d097b
DR-1440-0008-R,HMGP,2003,1440,1,Acquisition/Demolition,Manufactured Home,Rental,Other (Specify in Comments),Fairbanks North Star,SALCHA,Alaska,2,10,99714,0 - 49%,,1,ff73a006-715e-41b8-8972-63d23fa9c196
DR-1440-0008-R,HMGP,2003,1440,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,"Elevated on Piers, Piles, Posts or Columns",Fairbanks North Star,SALCHA,Alaska,2,10,99714,0 - 49%,72000.00,1,b318bb84-e436-45d6-b74b-84df081e990d
DR-1440-0008-R,HMGP,2003,1440,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,"Elevated on Piers, Piles, Posts or Columns",Fairbanks North Star,SALCHA,Alaska,2,10,99714,0 - 49%,195000.00,1,19181f8f-a9ff-4b60-a959-06253e80d52a
DR-1440-0008-R,HMGP,2003,1440,1,Acquisition/Demolition,Single Family,Rental,"Elevated on Piers, Piles, Posts or Columns",Fairbanks North Star,SALCHA,Alaska,2,10,99714,0 - 49%,7500.00,1,5e5a070a-87eb-4678-94ec-f03761b6b0d3
DR-1440-0008-R,HMGP,2003,1440,1,Acquisition/Demolition,Single Family,Rental,Other (Specify in Comments),Fairbanks North Star,SALCHA,Alaska,2,10,99714,0 - 49%,30066.00,1,e29a9af7-db33-4551-9a36-aab346df87bc
DR-1440-0002-R,HMGP,2003,1440,1,Seismic Retrofit,Non-residential - Public,Other (Specify in Comments),Slab on Grade,Matanuska-Susitna,PALMER,Alaska,2,10,99645,0 - 49%,,1,53a08b95-e7ad-463e-9833-55aeb7b98958
DR-1441-0001-R,HMGP,2003,1441,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Basement,Davidson,NASHVILLE,Tennessee,47,4,37211,0 - 49%,126000.00,1,875cb255-19d6-48ec-b7fc-fda1c064fb4f
DR-1441-0002-R,HMGP,2003,1441,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Basement,Sullivan,BRISTOL,Tennessee,47,4,37620,0 - 49%,50500.00,1,a16b5e79-4a22-49a9-9748-e6b9231d1051
DR-1441-0002-R,HMGP,2003,1441,1,Acquisition/Demolition,Single Family,Owner Occupied - Principal Residence,Basement,Sullivan,BRISTOL,Tennessee,47,4,37620,0 - 49%,52300.00,1,05bdf519-d451-4a7a-ac78-6fba2f3d4f02
DR-1441-0006-R,HMGP,2003,1441,1,Safe Room/Wind Shelter,Non-residential - Public,Not Applicable,Slab on Grade,Lake,RIDGELY,Tennessee,47,4,38079,N/A,182213.00,1,fe2c23e4-8dc8-425c-ae7c-4dd6d9685869
DR-1442-0003-R,HMGP,2003,1442,1,Acquisition/Demolition,Non-residential - Public,Other (Specify in Comments),Slab on Grade,Jefferson,BROOKSIDE,Alabama,1,4,35036,100%,454000.00,1,bd28fa3b-f3e3-44a0-924a-fe27070073a7
